"group_code","group_id","group_name"
"rpi robesonia",2721,"Reading Pediatrics Inc"
"1558393629d",2722,"Reading Health QuickCare - Leesport"
"schkfp",2723,"Schuylkill Valley Family Practice"
"berkseyewern",2724,"Berks Family Eyecare PC"
"1649354283",2725,"Boylan & Burek Chiropractic"
"wfp",2726,"Wernersville Family Practice"
"1689604704",2727,"Hypertension & Kidney Specialists"
"hypertension",2728,"Hypertension and Kidney Specialists"
"wsbariatric63",2729,"WellSpan Bariatric Surgery"
"wscocalico30",2730,"WellSpan Family & Sports Medicine - Cocalico"
"wsneuro30",2731,"WellSpan Neurology"
"camppear",2732,"Campanella & Pearah Eye Care Assoc."
"eyelandsink",2733,"Eyeland Optical Inc"
"manubaymd4400",2734,"John Manubay, MD, LLC"
"1023382918",2735,"Pennsylvania Dermatology Partners Inc"
"rhpnderm1020",2736,"RHPN Dermatology"
"rhpnfmed1020",2737,"RHPN Family Medicine"
"trhmggateway",2738,"RHPN Family Medicine"
"1020",2739,"RHPN Internal Medicine"
"rhpnim1020",2740,"RHPN Internal Medicine"
"11000",2741,"Joseph W Strangarity MD"
"22985denver",2742,"Laskoski, Chester A., D.P.M."
"advancedorth",2743,"Keystone Orthopaedic Specialists, LLC"
"kimmelnsc",2744,"Kimmel Nasal and Sinus Center"
"pennafc",2745,"Penn Ankle & Foot Care"
"1942442553",2746,"Reading Dermatology Associates PC"
"southernberks",2747,"Southern Berks Family Medicine"
"29904",2748,"Venier, Leon H., M.D."
"1487658852",2749,"West Lawn Podiatry Associates, PC"
"allasthma",2750,"Allergy and Asthma Center of Wyomissing"
"ajrcr2758",2751,"Arthritis & Joint Replacement Center"
"aoctr",2752,"Arthritis & Osteoporosis Center Inc"
"berkscardltd",2753,"Berks Cardiologists, LTD"
"1710959499",2754,"Berks ENT Surgical Associates Inc"
"berkseyephysurgs",2755,"Berks Eye Physicians & Surgeons Ltd"
"berks2608",2756,"Berks Schuylkill Respiratory Specialists LTD"
"berkshireortho",2757,"Berkshire Orthopedic Assoc."
"bsress",2758,"Berks-Schuylkill Respiratory"
"carimeyewyom",2759,"Carim Eye and Retina Center"
"11039",2760,"Cavorsi, Joseph P., M.D."
"centerforpaincontrol",2761,"Center for Pain Control, PC"
"cucbc1320",2762,"Center for Urologic Care of Berks County PC"
"ccw",2763,"Children's Clinic of Wyomissing, Inc."
"coa-penn",2764,"Commonwealth Orthopaedic Associates"
"dda1011",2765,"Digestive Disease Associates"
"emkey arthritis",2766,"Emkey Arthritis and Osteoporosis Clinic"
"entheadneckwyom",2767,"ENT Head & Neck Specialists PC"
"17977-a",2768,"Eye Consultants of Pennsylvania, PC"
"fmaw",2769,"Family Medicine Associates of Wyomissing PC"
"keystoneorthospec1270",2770,"Keystone Orthopaedics - Reading Neck and Spine"
"35236",2771,"Muallem, Nabil S., MD, PC"
"1124102124",2772,"Nader Rahmanian MD LLC"
"1023382918f",2773,"Pennsylvania Dermatology Partners Inc"
"primierfootank",2774,"Premier Foot & Ankle Associates PC"
"eye care readin",2775,"Progressive Vision Institute/Eye Care Center"
"1225153380",2776,"Proserpi-Schlechter Center for Plastic Surgery"
"1558393629e",2777,"Reading Health Urgent Care"
"readwound",2778,"Reading Hospital Wound Healing & Hyperbaric Med"
"readingneck1270",2779,"Reading Neck and Spine Center"
"rpi",2780,"Reading Pediatrics Inc"
"aaw2",2781,"RHPN All About Women"
"rhpncard1320",2782,"RHPN Cardiology"
"rhpnderm1320",2783,"RHPN Dermatology"
"rpsendoanddiab",2784,"RHPN Endocrinology and Diabetes Center"
"rpsendoanddiapa",2785,"RHPN Endocrinology and Diabetes Center"
"rhpnfmed1350",2786,"RHPN Family Medicine"
"trhmg-berkshire",2787,"RHPN Family Medicine"
"rhpnfmed950a",2788,"RHPN Family Medicine"
"rpsgeriatric560",2789,"RHPN Geriatric Center"
"rhpnim950a",2790,"RHPN Internal Medicine"
"trhmghassel950",2791,"RHPN Internal Medicine"
"intmedwread",2792,"RHPN Internal Medicine"
"rhpnim950b",2793,"RHPN Internal Medicine"
"rhpnneu2802",2794,"RHPN Neurology"
"readprfneuro560",2795,"RHPN Neurology"
"1205842424b",2796,"RHPN Physiatry"
"rpspulm560",2797,"RHPN Pulmonary Medicine"
"rhpnrheumatology",2798,"RHPN Rheumatology"
"trhmgcatc",2799,"RHPN Sports Medicine"
"readprfwghtmgt",2800,"RHPN Weight Management Center"
"trhmgebzerconwes",2801,"RHPN Women's Health"
"sleep apnea",2802,"Sleep Apnea Solutions, LLC"
"springridge",2803,"Spring Ridge Surgical Specialists"
"sjmgfammed2",2804,"St. Joseph Medical Group-Family Medicine"
"sjmgwound2610",2805,"St. Joseph Medical Group-Wound Care"
"feinberg wyomis",2806,"Stanford S Feinberg MD PC"
"berksfampod",2807,"Berks Family Podiatry"
"img berks",2808,"Integrated Medical Group PC - Berks Pediatrics"
"mshmcradonc2494",2809,"MSHMC Radiation Oncology-St. Joseph's"
"mshmcmatfetal2494_106",2810,"Penn State Hershey Maternal Fetal Medicine"
"pricechirpottsvil",2811,"Price Chiropractic Associates, Inc."
"readinghosoccup",2812,"Reading Hospital Dept of Occupational Medicine"
"1497776207",2813,"RHPN Family Medicine"
"rhpnfmed3212",2814,"RHPN Family Medicine"
"readingcrestmedical",2815,"RHPN Internal Medicine"
"rhpnim3200",2816,"RHPN Internal Medicine"
"8358-a",2817,"St Joseph Medical Center"
"sjmgmuhlbrg",2818,"St. Joseph Medical Group - Family Medicine"
"sjmgthoracic2494_207",2819,"St. Joseph Medical Group-Cardiothoracic"
"sjmgongyn2494",2820,"St. Joseph Medical Group-OB/Gyn Associates"
"sjmgortho2494",2821,"St. Joseph Medical Group-Orthopedic Surgery"
"sjmgsportsmed2494_205",2822,"St. Joseph Medical Group-Sports Medicine"
"stjvasc",2823,"St. Joseph Medical Group-Vascular Institute"
"sjmgwomen2494",2824,"St. Joseph Medical Group-Women's Services"
"berkscomm430",2825,"Berks Community Health Center"
"genesis prim care",2826,"Berks Genesis Family Medicine PC"
"1649354283b",2827,"Boylan & Burek Chiropractic"
"centrepark",2828,"Centre Park Chiropractic Inc"
"fmc525",2829,"Farias Medical Clinic"
"22796b",2830,"Horner, Scott A., M.D."
"1336102268a",2831,"Integrated Medical Group PC - Drs Wagner & Mur"
"1679637243",2832,"Keystone Neurology Consultants"
"22796",2833,"Scott A Horner MD Urology LTD"
"sjmgfwcspec",2834,"SJMG Family and Women's Care Specialties"
"sotocentre",2835,"Sotomayor, Matilde R MD"
"st joseph famil",2836,"St. Joseph Family and Women's Care"
"sjmgobgyn145",2837,"St. Joseph Medical Group - OB/GYN"
"sjmgdwtn145",2838,"St. Joseph Medical Group-Family Medicine Downtown"
"sjmgortho145",2839,"St. Joseph Medical Group-Orthopedics"
"sjmgwound640",2840,"St. Joseph Medical Group-Wound Care"
"uptownopto",2841,"Uptown Optometric Center"
"chiro235",2842,"Chiropractic 1st LLC"
"conestogaomslititz",2843,"Conestoga Oral & Maxillofacial Surgery Ltd"
"cornerstone6",2844,"Cornerstone Family Health"
"52468",2845,"Dale R Lent DO and Associates"
"heartlandlmg1535",2846,"Heartland Family Health"
"32245",2847,"Jacobson Eyecare"
"101248",2848,"Kenneth W Kilgore DPM"
"kisselhill",2849,"Kissel Hill Family Care"
"lanccopodlititz",2850,"Lancaster County Podiatry-Lititz"
"lancho1575",2851,"Lancaster Hematology Oncology Care"
"lancpulm1575_200",2852,"Lancaster Pulmonary and Sleep Associates"
"66883-a",2853,"Leslie B. Miller, OD, Inc."
"arrhsplitit",2854,"LGHP/Penn Medicine Arthritis & Rheumatology"
"lititzfamilyprac",2855,"LGHP/Penn Medicine Family Medicine Lititz"
"lpmfml562",2856,"LGHP/Penn Medicine Family Medicine Lititz"
"lghpgeriatrics1001",2857,"LGHP/Penn Medicine Geriatrics"
"roseville peds ltz",2858,"LGHP/Penn Medicine Roseville Pediatrics"
"lghppennsportsmed51",2859,"LGHP/Penn Medicine Sports Medicine"
"lititzhemonc1575",2860,"Lititz Hematology Oncology Care"
"martinpod1042",2861,"Martin Foot and Ankle"
"nsass",2862,"Neurology & Stroke Associates"
"obgyn1575",2863,"OBGYN of Lancaster"
"ortholmg1575",2864,"Orthopaedic Specialists of Central PA"
"orthospec1575",2865,"Orthopaedic Specialists of Central PA"
"paendo1575",2866,"Pennsylvania Institute of Endocrinology, LLC"
"plastic1535",2867,"Plastic & Aesthetic Surgical Associates"
"regcardiology1575",2868,"Regional Cardiology Group LLC"
"wsrothsville2320",2869,"WellSpan Family & Pediatric Medicine - Rothsville"
"wsobgyn6",2870,"WellSpan OB/GYN"
"kramermaehrer7096",2871,"Kramer & Maehrer, LLC"
"leighgastnewtri",2872,"Lehigh Gastroenterology Associates"
"northwesternmc",2873,"Northwestern Medical Center, PC"
"northwestmcstl",2874,"Northwestern Medical Center, PC"
"hrtcrgrpdecatur",2875,"The Heart Care Group, PC"
"1609865971d",2876,"Urology Specialists of the Lehigh Valley PC"
"17977-c",2877,"Eye Consultants of Pennsylvania"
"lvpg-blandon",2878,"LVPG Family Medicine - Blandon"
"lvkutztwnpc501",2879,"LVPG Family Medicine - Kutztown"
"blandonmg501",2880,"LVPG Family Medicine Blandon"
"rpi blandon",2881,"Reading Pediatrics Inc"
"colonrectkutz",2882,"Colon Rectal Surgery Associates PC"
"east penn 91",2883,"East Penn Podiatry Associates LLC"
"gastronormalave",2884,"Eastern PA Gastroenterology and Liver Specialists"
"buchanankutz",2885,"Harry W. Buchanan IV., MD, PC"
"lv kutztown pca",2886,"LVPG Family Medicine - Kutztown"
"lvobgyn333",2887,"LVPG Obstetrics and Gynecology"
"lvortho333",2888,"LVPG Orthopedics"
"lv colht obg kt",2889,"LVPG-College Heights OBGYN Associates, PC"
"medimgkutz",2890,"Medical Imaging of LV, PC"
"rhpnwom15050",2891,"RHPN All About Women"
"kutztownfm",2892,"RHPN Family Medicine"
"rhpnfmed15050",2893,"RHPN Family Medicine"
"1609865971c",2894,"Urology Specialists of the Lehigh Valley PC"
"valkidneyspec45",2895,"Valley Kidney Specialists PC"
"eyeopt4447",2896,"Eyeland Optical"
"eyelandtemple",2897,"Eyeland Optical Inc"
"1386710432b",2898,"Muhlenberg Family Footcare LTD"
"mma",2899,"RHPN Internal Medicine"
"rhpnim420",2900,"RHPN Internal Medicine"
"christoph",2901,"Richard Christoph, O.D. and Associates"
"ffc",2902,"Fleetwood Foot Care Center, PC"
"lvpg heart 14351",2903,"LVPG Cardiology - Moselem Springs"
"moselemsprgspc",2904,"LVPG Family Medicine - Moselem Springs"
"lvpgsurgsp14351",2905,"LVPG General and Trauma Surgery - 1240 Cedar Crest"
"lvortho14351",2906,"LVPG Orthopedics"
"lvpghfp14351",2907,"LVPG-Heritage Family Practice"
"123274-b",2908,"Carbon Foot and Ankle Centers, PC"
"carbonmedjimtho",2909,"Carbon Medical Associates Inc"
"cmsjimthorpe1122",2910,"CMS Medical Care Corporation"
"lwe30",2911,"LiveWell Empowerment, LLC"
"manzellajmthrp",2912,"Manzella Family Healthcare"
"stlukesurg1206",2913,"St. Luke's Estes Surgical Associates"
"lvphoswitchback1580",2914,"Switchback Medical Center"
"health dimns sl",2915,"Health Dimensions"
"bluemt",2916,"Blue Mountain Medical Associates"
"carbonfoot185a",2917,"Carbon Foot and Ankle Centers PC"
"carbonmedpalmer",2918,"Carbon Medical Associates Inc"
"carbon255",2919,"Carbon Surgical Associates"
"carlislefoot3295_4",2920,"Carlisle Foot & Ankle Specialists"
"cmsbluemtnfm",2921,"CMS MCC Blue Mtn Family Medicine"
"cmsmedical555_1",2922,"CMS Medical Care Corporation"
"shahgiangpalmer",2923,"Drs. S. Shah, D. Giangiulio, B. Ahmed"
"12825walnutp",2924,"Garry M. Carbone, M.D., PC"
"palmerton eye",2925,"Houser Newman Associates"
"keypmrpalm",2926,"Keystone PM&R LLC"
"lehighgastpalme",2927,"Lehigh Gastroenterology"
"1811128390",2928,"Lehigh Geriatrics Associates, LLC"
"lv emerg med 135",2929,"LVPG-Emergency Medicine"
"mahvalorthpalm",2930,"Mahoning Valley Orthopedics"
"manzellapalmerton",2931,"Manzella Family Healthcare"
"orl associates",2932,"ORL Associates"
"arora135",2933,"Rajeev K Arora MD"
"rosen135",2934,"Scott Rosen MD"
"stlukepalmped",2935,"St. Luke's Palmerton Pediatrics"
"affc-w",2936,"Allentown Family Foot Care"
"affc-w2",2937,"Allentown Family Foot Care"
"cressmnyablonsk",2938,"Cressman and Yablonski Associates"
"crystalv121",2939,"Crystal Vision Center"
"slca303",2940,"St. Luke's Cardiology Associates"
"pedurgcare",2941,"Geisinger Pediatric Urgent Care at GSWB"
"gscgastro1000",2942,"Geisinger Specialty Clinic - Gastroenterology"
"gscgensurg",2943,"Geisinger Specialty Clinic - General Surgery"
"gscneuro",2944,"Geisinger Specialty Clinic - Neurology"
"gscneurosurg",2945,"Geisinger Specialty Clinic - Neurosurgery"
"gscobgyn",2946,"Geisinger Specialty Clinic - OB/GYN"
"gspcotolaryn",2947,"Geisinger Specialty Clinic - Otolaryngology"
"gscradoncol",2948,"Geisinger Specialty Clinic - Radiation Oncology"
"geisingerspeccl",2949,"Geisinger Specialty Clinic - Transplant Surgery"
"gscg675",2950,"Geisinger Specialty Clinic Gastroenterology"
"gscortho",2951,"Geisinger Specialty Clinic, Orthopaedics"
"gscped",2952,"Geisinger Specialty Clinic, Pediatrics"
"g107",2953,"Geisinger Urgent Care South Wilkes Barre"
"urology",2954,"Geisinger Urology"
"gmgwomenhlth",2955,"Geisinger Women's Health at Geisinger South Wilkes"
"gswbccmed25",2956,"GSWB Critical Care Medicine"
"geisingerpainmgmt",2957,"GSWB Interventional Pain Center"
"gmg-wb endocrin",2958,"GWV - Endocrinology"
"gwvgi",2959,"GWV - Gastroenterology"
"gwvmcid",2960,"GWV - Infectious Disease"
"gwvmcneonatal",2961,"GWV - Neonatology"
"gmg-wb ophthalm",2962,"GWV - Ophthalmology"
"gmg-vmb om",2963,"GWV - Oral & Maxillofacial Surgery"
"gwvmcinfdis",2964,"GWV - OSD Infectious Disease"
"gmg-wb otolaryn",2965,"GWV - Otolaryngology"
"gwv675plas",2966,"GWV - Plastic Surgery"
"gmg-wb rheumato",2967,"GWV - Rheumatology"
"gwvhearthospvassurg",2968,"GWV Heart Hospital Vascular Surgery"
"gmg-wb radiolog",2969,"GWV-General Diagnostic Radiology"
"gwvdmohs675",2970,"GWVMC-OSD Dermatology/MOHS"
"gwvmedonc1000",2971,"GWV-Medical Oncology/Cancer Center"
"gwvpa1000",2972,"GWV-Pediatrics Acute"
"hartmedcntr",2973,"Hart Medical Center Inc"
"immg wb",2974,"InterMountain Medical Group - Anistranski"
"immgwb150",2975,"InterMountain Medical Group Inc - Arthritis Center"
"immg142mundy",2976,"InterMountain Medical Group-Briskie"
"intmtn wb",2977,"InterMountain Medical Group-Cardiovascular WB"
"inter mount amb",2978,"InterMountain Medical Group-Kish"
"immg-wb (scott)",2979,"InterMountain Medical Group-Kuchemba"
"img talati",2980,"InterMountain Medical Group-Pulmonary"
"family physic",2981,"InterMountain Medical Group-Scott St Family Prac"
"krafchin1130",2982,"Ira Krafchin MD PC"
"martino545",2983,"James V Martino MD"
"klynowskyfpinc",2984,"Klynowsky Family Practice, Inc."
"59510",2985,"Lipinski-Delbalso, Leane E., O.D."
"schiowitz",2986,"Mark Fuerth Schiowitz, MD"
"maurerchiro",2987,"Maurer Chiropractic"
"14052 wilkesbar",2988,"Michael M Ferraro MD LLC"
"8791wilkesbarre",2989,"Nakkache, Victor B., M.D."
"nei679",2990,"Northeastern Eye Institute"
"ne rehab-wb",2991,"Northeastern Rehabilitation Associates, PC"
"obgynkingston",2992,"OB/GYN Associates LLC"
"13838-l",2993,"Optical NEI Inc"
"gwv_hop_1175",2994,"Orthopaedic Institute of GWVMC"
"partnerped166",2995,"Partners in Pediatrics - Hanover St"
"partnersinpedskc",2996,"Partners in Pediatrics-Kistler Clinic"
"jwchmercy",2997,"Partners in Pediatrics-Wilkes Barre"
"pha545n",2998,"Physicians Health Alliance"
"plasticreconst",2999,"Plastic and Reconstructive Surgeons"
"58735",3000,"Pramthesh K. Desai, M.D."
"renal consultan",3001,"Renal Consultants of Wyoming Valley"
"24367",3002,"Ridilla, Joseph J., D.O."
"smcgswb",3003,"Sleep Medicine at GSWB"
"swbobgyn25",3004,"SWB-OB/GYN"
"butlerchiro",3005,"Butler Chiropractic"
"comprehensiverehab",3006,"Comprehensive Rehab Services Inc"
"39863",3007,"Covey, S. Candace, O.D."
"13860",3008,"Fusco, John F., D.P.M."
"159992554h",3009,"Mount Nittany Physician Group - Peds Bellefonte"
"17287",3010,"Tanitsky, Michael, D.O."
"eyecenpa205",3011,"The Eye Center of Central PA"
"mountaintop are",3012,"Mountaintop Area Medical Center"
"advanced reg ct",3013,"Advanced Regional Center for Ankle and Foot Care"
"alianiellostcollege",3014,"Alianiello Eye Associates, PC"
"12753_253",3015,"Allergy & Asthma Specialist LLC"
"werner eye assc",3016,"Centre Eye Physicians and Surgeons"
"cei428",3017,"Clearview Eye Consultants LLC"
"ferrell1322",3018,"Cook Ferrell Chiropractice Wellness"
"62363 state col",3019,"Davison, Mark E DPM"
"emilrszabo",3020,"Emil R Szabo MD PC"
"familyfootcare",3021,"Family Foot Center"
"gmg-sppod2",3022,"Geisinger Clinic - Scenery Park"
"gmg-sppod4",3023,"Geisinger Clinic - Scenery Park"
"gmgotol",3024,"Geisinger Clinic State College Otolaryngology"
"101456",3025,"Geisinger Endoscopy & Surgery Centre"
"geisnutriscenpk",3026,"Geisinger Nutrition Services-Scenery Park"
"ghsophthstcllge",3027,"Geisinger Ophthamology - State College"
"hartley1322",3028,"Hartley Chiropractic and Rehab Center"
"ilumina253",3029,"Ilumina Life Center PC"
"6822",3030,"Mooney, Robert B Jr DO"
"159992554a",3031,"Mount Nittany Physician Group - Otolaryngology"
"159992554g",3032,"Mount Nittany Physician Group - Peds Boalsburg"
"159992554i",3033,"Mount Nittany Physician Group - Surgery"
"mnmc health services",3034,"Mount Nittany Physician Group - Wound Clinic"
"1598992554",3035,"Mount Nittany Physician Group-Plastic Surgery"
"1598992554c",3036,"Mount Nittany Physician Group-Pulmonology"
"1598992554d",3037,"Mount Nittany Physician Group-Urology"
"silverl",3038,"Moyer Chiropractic and Wellness Center LLC"
"nittany eye_wdr",3039,"Nittany Eye Associates"
"nitt val pod",3040,"Nittany Valley Ankle & Foot Center"
"251524704",3041,"Nittany Valley Chiropractic Center LLC"
"oralmax surger",3042,"Oral and Maxillofacial Surgery, Inc."
"painmedyk253",3043,"Pain Medicine of York LLC"
"pandolph$polansky",3044,"Pandolph & Polansky Family Practice PC"
"shinglerhc",3045,"Shinglehouse Health Center"
"ccmhobgyn45",3046,"Charles Cole Memorial Hospital - OB/GYN"
"portfp",3047,"Port Allegany Family Practice"
"portallped",3048,"Port Allegany Pediatrics"
"schottassoc",3049,"Schott Associates Eye Care"
"camchcc",3050,"Cameron County Health Care Center"
"emc",3051,"Emporium Health Center"
"phfammed275",3052,"Penn Highlands Family Medicine"
"phfammed416",3053,"Penn Highlands Family Medicine"
"eldredhth",3054,"Eldred Health Center"
"1528028800",3055,"Bowman Health Center"
"15013coud",3056,"Akl, Michel E MD"
"50414stmarys",3057,"Chaddah, Ashok, MD, LLC"
"1749 stmarys",3058,"Clearfield Center for Oral & Maxiofacial Surgery"
"drmgmultispec1376",3059,"DRMG Multi-Specialty"
"drmcps1100",3060,"DRMG Plastic Surgery"
"fatulaeye1102",3061,"Fatula Family Eye Care PLLC"
"lec-stmarys241",3062,"Laurel Eye Clinic"
"lec-stmarys",3063,"Laurel Eye Clinic"
"drmc elk medassoc",3064,"Penn Highlands Elk Medical Associates"
"drmcendo1100",3065,"Penn Highlands Endocrinology Services"
"phfammed757",3066,"Penn Highlands Family Medicine"
"pennhighlandsfm761",3067,"Penn Highlands Family Medicine"
"pennhighlandsfm",3068,"Penn Highlands Family Medicine - Baker/Garcia"
"phfammed757_100",3069,"Penn Highlands Family Medicine - Kelly"
"pennhighlandsgen",3070,"Penn Highlands General Surgery"
"phintmed761_220",3071,"Penn Highlands Internal Medicine - Singh"
"pennintpain",3072,"Penn Highlands Interventional Pain Center"
"drmcneu",3073,"Penn Highlands Neurology"
"phobgyn761",3074,"Penn Highlands OB/GYN Lin"
"phortho761",3075,"Penn Highlands Orthopaedics-Esbach"
"drmcpulmccmed",3076,"Penn Highlands Pulmonary/Critical Care"
"phqcare761",3077,"Penn Highlands QCare St Marys"
"phu761",3078,"Penn Highlands Urology"
"phwc761",3079,"Penn Highlands Women's Care"
"stmarycomm1100_plassurg",3080,"St Marys Community Medical Building"
"stmarys",3081,"St. Marys Chiropractic Center"
"phfm111",3082,"Penn Highlands Family Medicine"
"phim111",3083,"Penn Highlands Internal Medicine"
"jwchbped",3084,"JWCH Bradford Pediatrics"
"schott125",3085,"Schott Associates Eye Care"
"scrantonprimary",3086,"Scranton Primary Health Care"
"29856",3087,"Sebastianelli, Mario J., M.D."
"sfbrown",3088,"Stephen F. Brown, DC"
"1366498198",3089,"Charles Bannon MD"
"e645",3090,"Charles Deck MD"
"cmc trauma",3091,"CMC Trauma Physicians"
"cognetticonaboy",3092,"Cognetti & Conaboy Family Practice"
"commonwealth720",3093,"Commonwealth Physician Network LLC"
"commedcr",3094,"Community Medical Care, Inc."
"cmctraumadept",3095,"Community Medical Center Trauma Department"
"cmctraumasurg",3096,"Community Medical Center Trauma Surgeons"
"czulada chiropr",3097,"Czulada Chiropractic PC"
"delta med -jeff",3098,"Delta Medix PC"
"deltamedix940",3099,"Delta Medix, PC"
"eyecarespscran",3100,"Eye Care Specialists PC"
"gcmccc",3101,"GCMC Cancer Center"
"gcmccardiostds",3102,"GCMC Cardiac Studies"
"gcmccns1800",3103,"GCMC Clinical Nutrition Services"
"gcmccritcare",3104,"GCMC Critical Care Medicine"
"gcmcgastro",3105,"GCMC Gastroenterology"
"gcmchemonc",3106,"GCMC Hematology/Oncology"
"gcmcinfdis1800",3107,"GCMC Infectious Diseases"
"gcmcipc1800",3108,"GCMC Interventional Pain Center"
"gcmcmed1800",3109,"GCMC Medicine"
"gcmcneuro",3110,"GCMC Neurology"
"gcmc_neurosurg",3111,"GCMC Neurosurgery"
"gcmcobgyn",3112,"GCMC Obstetrics/Gynecology"
"gcmcortho",3113,"GCMC Orthopaedic Surgery"
"gcmco1800",3114,"GCMC Otolaryngology"
"gcmcpmr1800",3115,"GCMC Physicial Medicine and Rehabilitation"
"gcmcpodiatry",3116,"GCMC Podiatry"
"gcmcpulm1800",3117,"GCMC Pulmonary Medicine"
"gcmcrad1800",3118,"GCMC Radiology"
"gcmc_surgery",3119,"GCMC Surgery"
"gcmc_thor_vasc",3120,"GCMC Thoracic & Vascular Surgery"
"gcmctrauma1800",3121,"GCMC Trauma Center"
"pssmtay",3122,"Geisinger Clinic - Pediatric Specialties"
"mulbermed",3123,"Greentown Medical Center - Scranton"
"immgob743ste203",3124,"Intermountain Medical Group-Scranton OB/GYN"
"klampandco",3125,"Klamp and Company LLC"
"learvon",3126,"Lear Von Koch, M.D. & Associates"
"matfamhea640",3127,"Maternal and Family Health Services Inc"
"ne nephrology",3128,"NE PA Nephrology Associates PC"
"62865scranton",3129,"Nicholas P Maro DPM"
"rad. med. assoc",3130,"Northeast Radiation Oncology Center"
"northeasternsurg",3131,"Northeastern Surgical Specialists, PC"
"13223",3132,"Peters, John W., M.D."
"pha1141",3133,"Physicians Health Alliance"
"pha743ste107",3134,"Physicians Health Alliance"
"phyh743",3135,"Physicians Health Alliance"
"physhealth743",3136,"Physicians Health Alliance"
"pha_748infdis",3137,"Physicians Health Alliance"
"pha_748pod",3138,"Physicians Health Alliance"
"phyhlthalli748",3139,"Physicians Health Alliance"
"pha_748obgyn",3140,"Physicians Health Alliance"
"29862",3141,"Rudolph, Kenneth MD"
"greatvcard",3142,"Scranton Cardiovascular Physician Services LLC"
"scrantonho",3143,"Scranton Hematology-Oncology"
"madden-jones",3144,"Scranton Neurological Associates, PC"
"wrightctr640",3145,"The Wright Center Medical Group PC"
"wilkesclinic743",3146,"Wilkes-Barre Clinic Company LLC"
"acuitylaserscrant",3147,"Acuity Laser Eye & Vision Center"
"28125",3148,"Michele A Hazzouri MD"
"8603",3149,"Olsen, Kevin H., M.D."
"7834_2232",3150,"Rafael Lopez Monegro MD"
"24933",3151,"Snyder, Martin J DPM"
"cormed",3152,"Cor Medicine PC"
"czulada chiro",3153,"Czulada Chiropractic PC"
"pisanchyn1325",3154,"Gary M Pisanchyn OD LLC"
"17143",3155,"Joseph A Gershey DPM PC"
"dawgert  zukos",3156,"Pediatrics of Northeastern Pennsylvania"
"pha_890",3157,"Physicians Health Alliance"
"professional ne",3158,"Professional Neurological Associates"
"102608",3159,"Scranton Orthopaedic Specialists PC"
"scrantondickso",3160,"Scranton Orthopaedic Specialists, PC"
"16858",3161,"Siebecker, Timothy J., D.P.M."
"targetoptical1140",3162,"Target Optical"
"23711",3163,"Samir B. Pancholy, M.D., LLC"
"walmarthonesdal",3164,"Family First Vision Center"
"lakeariel",3165,"Greentown Medical Center - Mt Cobb"
"womensctrnepa",3166,"Hamlin Family Health Center"
"peds-lake ariel",3167,"Pediatric Practices of NEPA"
"polowicz543",3168,"Stephen A Pokowicz DC"
"vitallinkchirha",3169,"Vital Link Chiropractic PC"
"branning310",3170,"Branning Podiatry PC"
"deblon honsdl",3171,"DeBlon Chiropractic Offices"
"dowleye160",3172,"Dowling Family Eye Care"
"10732",3173,"Family Eye Care of NEPA PC"
"pisanchyn777",3174,"Gary M Pisanchyn OD LLC"
"wmchcgutherz600",3175,"Gutherz Family Health Center"
"handsurg",3176,"Hand Surgery Associates LLC"
"highlandfhc1839",3177,"Highland Physicians Family Health Center"
"honesdaleeyectr",3178,"Honesdale Eye Center"
"honesdalefhc",3179,"Honesdale Family Health Center"
"honesdaleortho",3180,"Honesdale Orthopaedic Surgery, PC"
"2081",3181,"Honesdale Surgical Associates"
"laportahonesdale",3182,"LaPorta and  Associates PC"
"7834",3183,"Lopez-Monegro, Rafael MD"
"20251",3184,"Matthew T Kuber MD"
"7598",3185,"Murray, Edward L., D.P.M."
"northeast eye 6",3186,"Northeastern Eye Institute"
"ne gastro assoc",3187,"Northeastern Gastroenterology Associates PC"
"northeastrhones",3188,"Northeastern Rehabilitation Associates, PC"
"patel304",3189,"Patel Retina Institute LLC"
"peds-honesdale",3190,"Pediatric Practices of NEPA"
"pocoral1095",3191,"Pocono Oral Surgery PC"
"11312honesdale",3192,"Tri County Ear Nose Throat PC"
"11314honesdale",3193,"Tri County Ear Nose Throat PC"
"68841",3194,"Walmart Vision Center - Beckish"
"23-2610884",3195,"Wayne Memorial Community Health Centers"
"20686",3196,"Wayne Memorial Hospital"
"wilkesclinic600",3197,"Wilkes-Barre Clinic Company LLC"
"wmchccard600",3198,"WMCHC - Cardiology"
"commhealthconce",3199,"WMCHC - Pulmonology"
"wmchcsurg_neuro600",3200,"WMCHC - Surgery & Neurology"
"143637",3201,"Collura Wellness PC"
"20884jessup",3202,"Loomis, James C DPM"
"57763",3203,"Tomcykoski, Paul A DO"
"deblon lrds val",3204,"DeBlon Chiropractic Offices"
"17804",3205,"Donald O Broughton DC"
"eyeassocpaupack2571",3206,"Eye Associates of Paupack"
"lakesidefamvisi",3207,"Lakeside Vision"
"lhfp2489",3208,"Lakota Healthcare Family Practice"
"laportalordsvalley",3209,"LaPorta and Associates PC"
"matfamthea8226",3210,"Maternal and Family Health Services Inc"
"pike cmc",3211,"Pike County Medical Center"
"16251",3212,"Besen, Lee T MD"
"17099",3213,"Bushta, John F., D.P.M."
"20808peckville",3214,"Grattolino, Vincent N DPM"
